2022.02.21 12:49:54 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile css/Sonar way
2022.02.21 12:49:55 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile scala/Sonar way
2022.02.21 12:49:55 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile jsp/Sonar way
2022.02.21 12:49:55 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile kotlin/Sonar way
2022.02.21 12:49:55 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile go/Sonar way
2022.02.21 12:49:55 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way Recommended
2022.02.21 12:49:55 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2022.02.21 12:49:56 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2022.02.21 12:49:56 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ruby/Sonar way
2022.02.21 12:49:56 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2022.02.21 12:49:56 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2022.02.21 12:49:57 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile web/Sonar way
2022.02.21 12:49:57 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2022.02.21 12:49:57 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2022.02.21 12:49:57 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
2022.02.21 12:49:57 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2022.02.21 12:49:57 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
2022.02.21 12:49:58 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile vbnet/Sonar way
2022.02.21 12:49:58 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2022.02.21 12:49:58 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way recommended
2022.02.21 12:49:58 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2022.02.21 12:49:58 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2022.02.21 12:49:58 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@2f5f83fd [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/properties*, ...]}]
2022.02.21 12:49:58 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@49740325 [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2022.02.21 12:49:58 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@22b2861a [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2022.02.21 12:49:58 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@5ae36bb0 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2022.02.21 12:49:58 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@37a83cb5 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2022.02.21 12:49:58 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@b3ea6d5 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2022.02.21 12:49:58 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@1b398151 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2022.02.21 12:49:58 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@209dd2bc [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2022.02.21 12:49:58 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2022.02.21 12:49:58 INFO  web[][o.s.s.p.Platform] WebServer is operational
2022.02.21 13:21:17 INFO  web[][o.s.p.StopWatcher] Stopping process
2022.02.21 13:21:46 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2022.02.21 13:21:47 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2022.02.21 13:21:48 INFO  web[][o.e.p.PluginsService] no modules loaded
2022.02.21 13:21:48 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2022.02.21 13:21:48 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2022.02.21 13:21:48 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2022.02.21 13:21:49 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2022.02.21 13:21:49 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 7.6.0.21501 / d56689a5eb122c06cf87375828085609f5a68323
2022.02.21 13:21:50 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2022.02.21 13:21:50 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /opt/sonarqube/data
2022.02.21 13:21:50 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
